indice,StartOdometerKilometres,AssetId,StartPosition_DistanceSinceReadingKilometres,StartPosition_AltitudeMetres,StartPosition_SpeedKilometresPerHour,StartPosition_Latitude,StartPosition_PositionId,EndPosition_OdometerKilometres,EndPosition_DistanceSinceReadingKilometres,EndPosition_AltitudeMetres,EndPosition_SpeedKilometresPerHour,EndPosition_Latitude,SpeedLimit,StartPosition_Timestamp,StartDate nuevo,Año,mes,dia,Semana,Dia Semana,Año mes,Año Semana,Hora,hh:mm:ss,EventId,StartPosition_OdometerKilometres,StartPosition_SpeedLimit,StartPosition_Timestamp,EndPosition_Timestamp,TotalTimeSeconds,DriverId,EventTypeId,EventCategory,NumJson,EndOdometerKilometres,Exceso de Velocidad (Km/hr),Distancia Recorrida,País Conductor,País Vehiculo,País Imputado,StartPosition_FormattedAddress ,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6
26653,190495.1,L1067693116410351616,9,1477,35,6.26567,L3072984189798899473,190495.1,9,1477,35,6.26567,30,2022-09-03T01:48:06Z,03/09/2022,2022,9,3,36,6,22-9,22-36,1,01:48:06,L3072984188388797365,190495.1,30,2022-09-03T01:48:06Z,2022-09-03T01:48:06Z,2,L1107994700687007744,L-2864371101042705250,Detail,185736,190495.2,5,0.1,CO,CO,CO,"050010 Medellín, Colombia",050010 Medellín, Colombia,,,,
137308,304716.7,L1067693066007232512,8,1515,34,6.30403,L3077128399090860900,304716.7,8,1515,34,6.30403,30,2022-09-14T05:49:45Z,14/09/2022,2022,9,14,38,3,22-9,22-38,5,05:49:45,L3077128398857982321,304716.7,30,2022-09-14T05:49:45Z,2022-09-14T05:49:45Z,1,L1107994013580320768,L-2864371101042705250,Detail,193967,304716.7,4,0,CO,CO,CO,"050044 Medellín, Colombia",050044 Medellín, Colombia,,,,
181410,192190.1,L1067693116410351616,0,1521,34,6.30408,L3078541650413119268,192190.1,0,1521,34,6.30408,30,2022-09-18T01:13:53Z,18/09/2022,2022,9,18,39,7,22-9,22-39,1,01:13:53,L3078541647647339585,192190.1,30,2022-09-18T01:13:53Z,2022-09-18T01:13:53Z,2,L1107989039118999552,L-2864371101042705250,Detail,197098,192190.2,4,0.1,CO,CO,CO,"050044 Medellín, Colombia",050044 Medellín, Colombia,,,,
41563,508932.9,L1067694225824731136,9,1378,35,6.38494,L3074021256711596588,508932.9,9,1378,35,6.38494,30,2022-09-05T20:52:27Z,05/09/2022,2022,9,5,37,1,22-9,22-37,20,20:52:27,L3074021254085879841,508932.9,30,2022-09-05T20:52:27Z,2022-09-05T20:52:27Z,4,L1097140967304028160,L-2864371101042705250,Detail,186948,508932.9,5,0,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
50818,557298.3,L1067694031414378496,20,1386,38,6.38492,L3074350206587870745,557298.3,20,1386,38,6.38492,30,2022-09-06T18:08:57Z,06/09/2022,2022,9,6,37,2,22-9,22-37,18,18:08:57,L3074350208881854599,557298.3,30,2022-09-06T18:08:57Z,2022-09-06T18:08:57Z,7,L1097144728898461696,L-2864371101042705250,Detail,187756,557298.4,8,0.1,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
74153,509117,L1067694225824731136,10,1384,40,6.38494,L3075091780078635194,509117,10,1384,40,6.38494,30,2022-09-08T18:06:38Z,08/09/2022,2022,9,8,37,4,22-9,22-37,18,18:06:38,L3075091781912702204,509117,30,2022-09-08T18:06:38Z,2022-09-08T18:06:38Z,7,L1097140967304028160,L-2864371101042705250,Detail,189473,509117.1,10,0.1,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
85530,557419.1,L1067694031414378496,9,1388,37,6.38492,L3075463255952563737,557419.1,9,1388,37,6.38492,30,2022-09-09T18:08:09Z,09/09/2022,2022,9,9,37,5,22-9,22-37,18,18:08:09,L3075463256872842379,557419.1,30,2022-09-09T18:08:09Z,2022-09-09T18:08:09Z,4,L1097144728898461696,L-2864371101042705250,Detail,190281,557419.1,7,0,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
137402,191712.8,L1067693116410351616,9,1383,34,6.38486,L3077320269562162892,191712.8,9,1383,34,6.38486,30,2022-09-14T18:14:19Z,14/09/2022,2022,9,14,38,3,22-9,22-38,18,18:14:19,L3077320269991904017,191712.8,30,2022-09-14T18:14:19Z,2022-09-14T18:14:19Z,10,L1107989946342760448,L-2864371101042705250,Detail,193967,191712.9,4,0.1,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
150816,557594,L1067694031414378496,9,1378,36,6.38486,L3077674626288578492,557594,9,1378,36,6.38486,30,2022-09-15T17:09:24Z,15/09/2022,2022,9,15,38,4,22-9,22-38,17,17:09:24,L3077674629285534428,557594,30,2022-09-15T17:09:24Z,2022-09-15T17:09:24Z,8,L1097144728898461696,L-2864371101042705250,Detail,194977,557594.1,6,0.1,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
151188,509657,L1067694225824731136,20,1379,37,6.38494,L3077680593032368159,509657,20,1379,37,6.38494,30,2022-09-15T17:32:33Z,15/09/2022,2022,9,15,38,4,22-9,22-38,17,17:32:33,L3077680594569526344,509657,30,2022-09-15T17:32:33Z,2022-09-15T17:32:33Z,5,L1097140967304028160,L-2864371101042705250,Detail,194977,509657,7,0,CO,CO,CO,"051037 Girardota, Colombia",051037 Girardota, Colombia,,,,
